strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
fade_credit_72h,credit_spread_proxy,72,p90,0.9,immediate,SPY,221,0.6289592760180995,0.5384615384615384,0.004804431807649882,1.061779429490624,1.0150089353961147,0.005500671486652786,0.9538461538461539,,,,,0.19004524886877827,0.3257918552036199,1.9666666666666133,1.999999999999858
fade_credit_72h,credit_spread_proxy,72,p90,0.9,immediate,UNG,223,0.6143497757847534,0.5384615384615384,-0.029616318157047773,-6.604438949021653,0.9153791964954602,0.01660735468564667,0.9538461538461539,,,,,0.21973094170403587,0.35874439461883406,1.6981132075471634,2.2647058823529407
fade_credit_72h,credit_spread_proxy,72,p90,0.9,immediate,USO,212,0.6462264150943396,0.5384615384615384,0.010287383863856737,2.180925379137628,1.030806503714452,0.01168892754811146,0.951216287678477,,,,,0.24056603773584906,0.4056603773584906,1.4270361990950269,1.9916666666666685
fade_credit_72h,credit_spread_proxy,72,p90,0.9,delayed,GLD,775,0.5741935483870968,0.4173228346456944,-0.07912187760221727,-61.31945514171838,0.7818081660568524,0.011721869111118055,0.9830508474576272,,,,,0.14967741935483872,0.3961290322580645,1.4442105263157923,0.6880222841225593
fade_credit_72h,credit_spread_proxy,72,p90,0.9,delayed,QQQ,847,0.7213695395513577,0.5384615384615384,0.11806942522257843,100.00480316352393,1.448206731664577,0.00723619389123098,1.0,,,,,0.2857142857142857,0.4427390791027155,1.0952380952381184,1.771349862258973
fade_credit_72h,credit_spread_proxy,72,p90,0.9,delayed,SLV,815,0.5828220858895705,0.3086913086913035,-0.06199490946718583,-50.525851215756454,0.8187180103434387,0.016154577130186754,0.9830508474576272,,,,,0.17791411042944785,0.37791411042944784,1.666666666666643,1.0
fade_credit_72h,credit_spread_proxy,72,p90,0.9,delayed,SPY,807,0.7050805452292441,0.5384615384615384,0.15759099650395758,127.17593417869377,1.7217743147091664,0.0059827527183216045,1.0,,,,,0.31226765799256506,0.4312267657992565,1.2125813449023894,1.5959302325581697
fade_credit_72h,credit_spread_proxy,72,p90,0.9,delayed,UNG,1043,0.663470757430489,0.5384615384615384,0.033999762070420686,35.46175183944877,1.1136924197197495,0.02300000000000002,1.0,,,,,0.16874400767018216,0.31543624161073824,1.6818181818181734,1.3333333333333333
fade_credit_72h,credit_spread_proxy,72,p90,0.9,delayed,USO,579,0.7340241796200345,0.5384615384615384,0.1330706655816861,77.04791537179625,1.548131781090563,0.015127272727272878,0.9830508474576272,,,,,0.3160621761658031,0.48704663212435234,1.0185185185185148,1.4710144927536137
fade_debit_24h,debit_spread_proxy,24,all,0.0,immediate,GLD,1846,0.5059588299024919,0.05971479500886689,0.015094254931412258,27.863994603387027,1.0336349572364643,0.0013186994389050577,0.5076923076923077,0.1635969664138678,0.24972914409534128,3.8000000000002423,3.855400696864265,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,immediate,QQQ,1852,0.4994600431965443,0.0,-0.010879507093352649,-20.148847136889106,0.9766333994120818,0.0012803428358164615,0.5230769230769231,0.14578833693304535,0.23110151187904968,3.675757575757641,3.6825757575756244,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,immediate,SLV,1776,0.518581081081081,0.24999999999997224,0.04361817318419824,77.46587557513608,1.0991840103077952,0.002266111473023802,0.515625,0.16835585585585586,0.268018018018018,3.4722222222219514,3.666666666666509,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,immediate,SPY,1850,0.49675675675675673,-0.0836720867208513,-0.010925685580597307,-20.21251832410502,0.9764748699793737,0.0010000427019387081,0.5254237288135594,0.1535135135135135,0.22054054054054054,3.421580671580413,3.552882072977643,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,immediate,UNG,1760,0.49829545454545454,0.0,0.01223687780693076,21.536904940198138,1.0270685113977764,0.004659108669603285,0.5806451612903226,0.17727272727272728,0.2676136363636364,2.9999999999999876,3.285714285714266,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,immediate,USO,1791,0.5013958682300391,0.014285714285721536,0.00648594619039112,11.616329626990495,1.0141769960241904,0.0025544703230653276,0.5538461538461539,0.16973757677275264,0.25907314349525407,3.181818181818211,3.26829268292683,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,delayed,GLD,1383,0.47288503253796094,-0.06741573033708116,-0.024752894733814097,-34.2332534168649,0.9383382525303496,0.005882225261010121,0.9491525423728814,0.2762111352133044,0.4924078091106291,1.042735042735052,1.0285714285714564,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,delayed,QQQ,1383,0.6182212581344902,0.20779220779220828,0.17812613917736922,246.34845048230162,1.6498751750122749,0.004886117342864704,0.9838709677419355,0.35502530730296455,0.5560375994215474,0.892682926829308,1.4504504504504911,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,delayed,SLV,1376,0.49055232558139533,-0.03554502369668045,0.004124487818399165,5.675295238117251,1.01057335404921,0.00999432140829093,0.9491525423728814,0.2921511627906977,0.4876453488372093,1.0666666666666693,1.066666666666665,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,delayed,SPY,1379,0.5192168237853517,0.30678851174934696,0.11888909948039268,163.94806818346152,1.375039118821888,0.0033630798731471012,0.9672131147540983,0.3488034807831762,0.5257432922407542,0.9762376237623976,1.5139125496876744,,,,
fade_debit_24h,debit_spread_proxy,24,all,0.0,delayed,UNG,1365,0.4783882783882784,-0.15384615384614964,-0.04107069690313728,-56.06150127278239,0.9069928939846248,0.014233241505968719,0.9814814814814815,0.263003663003663,0.4512820512820513,1.1666666666666963,1.2758620689655173,,,,
